ABATE AS INDUSTRIES Ltd.,https://www.moneycontrol.com/india/stockpricequote/abateasind/abateasindustries/TI32,Trading,3,6,1,0,27
ABB India Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB,Electric Equipment,16,1,3,0,81
Abbott India Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,Pharmaceuticals & Drugs,12,0,1,0,81
ABC Gas International Ltd.,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05,Metals - Non Ferrous,8,1,3,0,64
ABC India Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC,Ground Freight & Logistics Services,6,4,1,0,63
Abesc Ltd.,https://www.moneycontrol.com/india/stockpricequote/abesc/abesc/BI19,NA,6,3,5,1,63
Abhinav Capital Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/abhinavcapital/abhinavcapitalservices/ACS04,Finance - Stock Broking,12,3,3,0,73
Abhinav Leasing & Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03,Finance - NBFC,5,3,1,0,44
Abhishek Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22,Textiles & Apparel,6,4,2,1,40
Abhishek Finlease Ltd.,https://www.moneycontrol.com/india/stockpricequote/abhishekfinle/abhishekfinlease/AF32,Finance - NBFC,6,4,3,0,60
Abhishek Infraventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abhishekinfraventures/AI73,Finance - Stock Broking,6,4,2,0,50
Abhishek Integrations Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhishekintegrations/AI83,Miscellaneous,7,1,1,0,60
Abirami Financial Services (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS,Finance - Investment,3,1,1,0,50
ABM International Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02,Trading,3,8,1,0,38
ABM Knowledgeware Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM,Software,3,6,0,0,63
Aditya Birla Sun Life AMC Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adityabirlasunlifeamc/ABS,Finance - Investment,5,3,3,0,69
ABSLLIQUID Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslliquid/ABSLL14518,Miscellaneous,1,1,0,0,0
ACC Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,Cement,5,2,2,0,63
ACCEDERE Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accedere/EM01,IT Services & Consulting,4,6,1,0,53
Accel Ltd.,https://www.moneycontrol.com/india/stockpricequote/computershardware/accel/AT17,Computer Peripherals,4,1,2,0,44
Acceleratebs India Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acceleratebsindia/AI86,Miscellaneous,3,4,3,0,80
Accelya Solutions India Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyasolutionsindia/KAL,Software,12,3,1,0,81
Accord Synergy Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/accordsynergy/AS22,Telecommunication - Service Provider,3,1,0,0,55
Accuracy Shipping  Ltd.,https://www.moneycontrol.com/india/stockpricequote/shipping/accuracyshipping/AS26,Logistics,1,9,0,1,38
ACE Edutrend Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/aceedutrend/AIF,"Film Production, Distribution & Entertainment",4,3,2,0,50
ACE ENGITECH Ltd.,https://www.moneycontrol.com/india/stockpricequote/aceeng/aceengitech/PSF,Misc. Commercial Services,2,3,1,0,25
ACE Integrated Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/misccommercialservices/aceintegratedsolutions/AIS,Misc. Commercial Services,2,1,0,0,60
Ace Men Engg Works Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/acemenenggworkslimited/AME03,Trading,4,6,1,0,27
Ace Software Exports Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftwareexports/ASE02,Software,8,7,2,0,60
Acewin Agriteck Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acewinagriteck/INE02,other agriculture products,3,2,0,0,64
Automobile Corp of Goa (ACGL) Ltd.,https://www.moneycontrol.com/india/stockpricequote/acgl/automobilecorpgoaacgl/ACG,Auto Ancillaries - Bus Body,13,1,1,0,63
Achyut Healthcare Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/achyuthealthcare/AH09,Miscellaneous,7,0,2,0,73
ACI Infocom Ltd.,https://www.moneycontrol.com/india/stockpricequote/computershardware/aciinfocom/ACI07,Computer Peripherals,6,0,2,0,64
Acknit Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/acknitindustriesltd/AK,Textiles & Apparel,6,5,1,0,56
Acme Resources Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acmeresources/AR9,Finance - NBFC,13,1,3,0,80
Acrow (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/acrowindia/AI03,Engineering - Industrial Equipments,4,1,1,0,43
Action Construction Equipment Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3,Engineering - Industrial Equipments,13,1,1,0,94
Action Financial Services (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/actionfinancialservicesindia/AFS01,Finance - Stock Broking,8,7,2,0,38
Active Clothing Co Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/activeclothingcoltd/ACC,Textiles & Apparel,11,0,1,0,64
Ad Manum Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/admanumfinance/AMF01,Finance - NBFC,8,0,2,0,67
Adani Energy Solutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanienergysolutions/AT22,Power Generation/Distribution,3,8,0,0,65
Adani Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,Trading,7,3,1,1,63
Adani Green Energy Ltd.,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145,Renewables,11,3,1,0,76
Adani Ports and Special Economic Zone Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,Transport Infrastructure,9,4,2,1,75
Adani Power Ltd.,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11,Power Generation/Distribution,13,4,5,0,82
Adani Total Gas Ltd.,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01,Gas Distribution,7,6,0,0,69
Adani Wilmar Ltd.,https://www.moneycontrol.com/india/stockpricequote/consumerfood/adaniwilmar/AW,Consumer Food,3,12,0,0,53
Adarsh Plantation Projects Ltd.,https://www.moneycontrol.com/india/stockpricequote/adarshplant/adarshplantationprojects/APP01,Compressors / Pumps,6,4,1,0,75
ADC India Communications Ltd.,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/adcindiacommunications/KC07,Telecommunication - Equipment,3,6,2,0,38
Adcon Capital Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/adconcapital/adconcapitalservices/ACS06,Finance - Investment,3,3,2,0,23
Add-Shop Promotions Ltd.,https://www.moneycontrol.com/india/stockpricequote/addshoppromot/addshoppromotions/AP12,Household & Personal Products,5,4,1,0,73
Addi Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/addiindustries/AI05,Textiles & Apparel,6,2,1,0,67
Adeshwar Meditex Ltd.,https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/adeshwarmeditex/AM10,Medical Equipment/Supplies/Accessories,4,0,1,0,55
ADF Foods Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30,Consumer Food,9,5,0,0,69
Adhbhut Infrastructure Ltd.,https://www.moneycontrol.com/india/stockpricequote/adhbhutinfra/adhbhutinfrastructure/AI71,Construction - Infrastructure,5,1,1,0,67
